Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AB4352,Won,2026-01-19,,,,,,,,,,,,,,,,0
AB4352,Won,2025-01-19,,,,,,,,,,,,,,,,0
AB4352,Won,2024-01-19,,,,,,,,,,,,,,,,0
AB4352,Won,2023-01-19,,,,,,,,,,,,,,,,0
AB4616,Churned,2026-01-09,2025-12-15,Yes,No,No,No,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2025.0,1
AB4992,Won,2025-02-07,,,,,,,,,,,,,,,,0
AB4992,Won,2026-02-07,,,,,,,,,,,,,,,,0
AB4992,Won,2024-02-07,,,,,,,,,,,,,,,,0
AB4992,Won,2023-02-07,,,,,,,,,,,,,,,,0
AB5038,Won,2025-05-31,2025-05-06,No,No,No,No,No,No,No,No,No,Yes,Renewed,Yes,3.0,2025.0,1
AB5172,Won,2025-05-31,,,,,,,,,,,,,,,,0
AB5172,Won,2024-05-31,,,,,,,,,,,,,,,,0
AB5172,Won,2023-05-31,,,,,,,,,,,,,,,,0
AB5339,Churned,2023-10-28,,,,,,,,,,,,,,,,0
AB5411,Won,2025-03-08,,,,,,,,,,,,,,,,0
AB5411,Won,2026-03-08,,,,,,,,,,,,,,,,0
AB5411,Won,2024-03-08,,,,,,,,,,,,,,,,0
AB5411,Won,2023-03-08,,,,,,,,,,,,,,,,0
AB5679,Won,2025-02-25,2025-01-30,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AB5808,Churned,2023-05-24,,,,,,,,,,,,,,,,0
AB6528,Churned,2023-02-25,,,,,,,,,,,,,,,,0
AB6880,Won,2025-06-07,,,,,,,,,,,,,,,,0
AB6880,Won,2024-06-07,,,,,,,,,,,,,,,,0
AB6880,Won,2023-06-07,,,,,,,,,,,,,,,,0
AB6930,Won,2025-10-07,,,,,,,,,,,,,,,,0
AB6939,Churned,2023-05-13,,,,,,,,,,,,,,,,0
AB7075,Churned,2024-05-01,2024-04-04,Yes,No,No,No,No,No,No,No,No,No,Desired to Cancel,No,2.0,2024.0,1
AB7529,Churned,2023-09-13,,,,,,,,,,,,,,,,0
AB7963,Won,2025-01-11,2024-12-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AB7963,Won,2026-01-11,2025-12-17,No,No,No,Yes,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AB8043,Churned,2025-05-03,2025-04-07,Yes,No,No,No,Yes,No,No,No,No,No,Desired to Cancel,Yes,4.0,2025.0,1
AB8719,Won,2026-02-03,2026-01-20,No,No,No,No,No,No,No,No,No,No,Renewed,No,5.0,2026.0,1
AB8848,Won,2025-07-18,,,,,,,,,,,,,,,,0
AB8904,Won,2025-07-21,2025-06-24,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,2.0,2025.0,1
AB9483,Won,2025-07-06,,,,,,,,,,,,,,,,0
AB9483,Won,2024-07-06,,,,,,,,,,,,,,,,0
AB9483,Won,2023-07-06,,,,,,,,,,,,,,,,0
AB9496,Won,2025-09-19,2025-08-05,No,No,No,Yes,No,No,No,No,No,No,Renewed,Yes,1.0,2025.0,1
AB9577,Won,2024-07-12,,,,,,,,,,,,,,,,0
AB9577,Won,2025-07-12,,,,,,,,,,,,,,,,0
AB9577,Won,2023-07-12,,,,,,,,,,,,,,,,0
AB9837,Won,2025-02-09,2025-01-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC0502,Won,2025-09-20,2025-08-26,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AC1050,Won,2025-08-25,,,,,,,,,,,,,,,,0
AC1050,Won,2024-08-25,,,,,,,,,,,,,,,,0
AC1050,Won,2023-08-25,,,,,,,,,,,,,,,,0
AC1068,Won,2025-06-27,,,,,,,,,,,,,,,,0
AC1068,Won,2024-06-27,,,,,,,,,,,,,,,,0
AC1068,Won,2023-06-27,,,,,,,,,,,,,,,,0
AC1429,Won,2025-05-31,,,,,,,,,,,,,,,,0
AC1742,Won,2025-02-25,2025-01-29,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC1804,Won,2025-11-10,2025-10-20,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,7.0,2025.0,1
AC1996,Won,2024-08-30,2024-08-01,No,No,No,No,No,No,Yes,No,No,No,Not Discussed,No,4.0,2024.0,1
AC2094,Won,2025-06-27,,,,,,,,,,,,,,,,0
AC2094,Won,2024-06-27,,,,,,,,,,,,,,,,0
AC2094,Won,2023-06-27,,,,,,,,,,,,,,,,0
AC2373,Churned,2023-12-10,,,,,,,,,,,,,,,,0
AC2461,Won,2025-10-28,,,,,,,,,,,,,,,,0
AC2811,Won,2024-10-22,2024-10-01,No,No,Yes,Yes,Yes,No,No,No,No,No,Desired to Cancel,No,1.0,2024.0,1
AC2864,Churned,2025-05-13,,,,,,,,,,,,,,,,0
AC2986,Won,2025-04-20,2025-03-26,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC3946,Won,2025-12-08,2025-11-11,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Desired to Cancel,Yes,2.0,2025.0,1
AC4408,Won,2025-10-04,2025-09-08,No,No,Yes,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AC4484,Won,2025-09-05,2025-08-11,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2025.0,1
AC4669,Churned,2023-08-08,,,,,,,,,,,,,,,,0
AC4828,Won,2026-03-19,,,,,,,,,,,,,,,,0
AC4957,Churned,2024-02-04,,,,,,,,,,,,,,,,0
AC4957,Won,2023-02-04,,,,,,,,,,,,,,,,0
AC5010,Won,2026-03-03,2026-02-06,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2026.0,1
AC5334,Won,2025-02-18,2025-01-07,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,2.0,2025.0,1
AC5375,Won,2024-07-30,2024-07-02,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AC5613,Won,2024-12-12,2024-11-15,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AC5972,Churned,2025-01-10,,,,,,,,,,,,,,,,0
AC6051,Won,2025-12-16,2025-11-12,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,4.0,2025.0,1
AC6096,Won,2025-01-16,2024-12-20,No,No,No,Yes,No,No,No,Yes,No,Yes,Renewed,No,1.0,2024.0,1
AC7013,Won,2025-12-08,,,,,,,,,,,,,,,,0
AC7013,Won,2024-12-08,,,,,,,,,,,,,,,,0
AC7013,Won,2023-12-08,,,,,,,,,,,,,,,,0
AC7352,Won,2025-08-12,,,,,,,,,,,,,,,,0
AC7352,Won,2024-08-12,,,,,,,,,,,,,,,,0
AC7352,Won,2023-08-12,,,,,,,,,,,,,,,,0
AC7436,Won,2024-06-02,2024-05-09,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AC7497,Won,2025-03-20,2025-02-21,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AC7526,Won,2024-04-22,,,,,,,,,,,,,,,,0
AC7526,Won,2025-04-22,,,,,,,,,,,,,,,,0
AC7526,Won,2026-04-22,,,,,,,,,,,,,,,,0
AC7526,Won,2023-04-22,,,,,,,,,,,,,,,,0
AC8101,Churned,2023-03-24,,,,,,,,,,,,,,,,0
AC8349,Won,2024-12-10,2024-11-13,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AC8349,Won,2025-12-10,2025-11-17,No,No,No,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
